scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds
rank,32,1,h5_write_chunk,0.014209
rank,32,1,h5_write_all_chunks,0.956410
rank,32,1,h5_read_chunk,0.012404
rank,32,1,h5_read_all_chunks,0.397886
rank,32,2,h5_write_chunk,0.027080
rank,32,2,h5_write_all_chunks,1.504820
rank,32,2,h5_read_chunk,0.013009
rank,32,2,h5_read_all_chunks,0.416861
rank,32,4,h5_write_chunk,0.074221
rank,32,4,h5_write_all_chunks,2.810692
rank,32,4,h5_read_chunk,0.086148
rank,32,4,h5_read_all_chunks,2.757698
rank,32,8,h5_write_chunk,0.208682
rank,32,8,h5_write_all_chunks,7.172888
rank,32,8,h5_read_chunk,0.248819
rank,32,8,h5_read_all_chunks,7.963409
rank,32,16,h5_write_chunk,1.866708
rank,32,16,h5_write_all_chunks,60.951269
rank,32,16,h5_read_chunk,1.244460
rank,32,16,h5_read_all_chunks,39.827307
chunk,1,16,h5_write_chunk,0.521653
chunk,1,16,h5_write_all_chunks,1.355641
chunk,1,16,h5_read_chunk,0.710683
chunk,1,16,h5_read_all_chunks,0.710740
chunk,2,16,h5_write_chunk,0.494653
chunk,2,16,h5_write_all_chunks,1.751729
chunk,2,16,h5_read_chunk,0.415092
chunk,2,16,h5_read_all_chunks,0.830368
chunk,4,16,h5_write_chunk,0.853579
chunk,4,16,h5_write_all_chunks,4.565142
chunk,4,16,h5_read_chunk,0.502297
chunk,4,16,h5_read_all_chunks,2.009440
chunk,8,16,h5_write_chunk,0.707652
chunk,8,16,h5_write_all_chunks,7.315644
chunk,8,16,h5_read_chunk,0.415463
chunk,8,16,h5_read_all_chunks,3.324455
chunk,16,16,h5_write_chunk,1.499347
chunk,16,16,h5_write_all_chunks,25.572398
chunk,16,16,h5_read_chunk,0.817285
chunk,16,16,h5_read_all_chunks,13.080826
chunk,32,16,h5_write_chunk,2.030592
chunk,32,16,h5_write_all_chunks,66.034332
chunk,32,16,h5_read_chunk,1.436247
chunk,32,16,h5_read_all_chunks,45.963174
